A_abs,B_abs,delta_A,delta_A_flip,delta_B,delta_B_flip
1447,891,-1447,1793,891,-123
2961,1701,-1514,1794,810,-119
4535,2427,-1574,1794,726,-113
6141,3104,-1606,1795,677,-109
7762,3755,-1621,1795,651,-104
9396,4383,-1634,1795,628,-98
11043,4985,-1647,1796,602,-95
12703,5564,-1660,1796,579,-88
14375,6118,-1672,1797,554,-84
16058,6648,-1683,1796,530,-79
17753,7152,-1695,1798,504,-74
19458,7631,-1705,1797,479,-69
21172,8086,-1714,1798,455,-64
22897,8514,-1725,1798,428,-59
24630,8917,-1733,1798,403,-53
26375,9280,-1745,1798,363,-49
28127,9622,-1752,1799,342,-45
29882,9955,-1755,1799,333,-39
31638,10281,-1756,1798,326,-34
33396,10600,-1758,1799,319,-29
35156,10911,-1760,1799,311,-24
36918,11215,-1762,1800,304,-19
38682,11512,-1764,1799,297,-14
40447,11802,-1765,1799,290,-10
42215,12084,-1768,1800,282,-5
43983,12359,-1768,1799,275,1
45754,12626,-1771,1799,267,6
47526,12886,-1772,1800,260,11
49299,13139,-1773,1799,253,16
51075,13384,-1776,1799,245,20
52851,13622,-1776,1799,238,26
54629,13853,-1778,1799,231,30
56408,14076,-1779,1799,223,36
58189,14292,-1781,1798,216,40
59971,14501,-1782,1799,209,46
61754,14703,-1783,1798,202,51
63538,14896,-1784,1798,193,55
65323,15082,-1785,1798,186,61
67110,15261,-1787,1798,179,65
68897,15433,-1787,1797,172,70
70686,15598,-1789,1797,165,73
72475,15755,-1789,1798,157,65
74265,15904,-1790,1798,149,50
76057,16046,-1792,1799,142,47
77849,16181,-1792,1798,135,53
79642,16308,-1793,1798,127,61
81435,16428,-1793,1797,120,68
83229,16540,-1794,1797,112,75
85024,16645,-1795,1797,105,82
86820,16743,-1796,1796,98,90
88616,16833,-1796,1796,90,98
90413,16915,-1797,1795,82,105
92210,16990,-1797,1794,75,112
94007,17058,-1797,1793,68,120
95805,17119,-1798,1793,61,127
97603,17172,-1798,1792,53,135
99402,17219,-1799,1792,47,142
101200,17269,-1798,1790,50,149
102998,17334,-1798,1789,65,157
104795,17407,-1797,1789,73,165
106592,17477,-1797,1787,70,172
108390,17542,-1798,1787,65,179
110188,17603,-1798,1785,61,186
111986,17658,-1798,1784,55,193
113784,17709,-1798,1783,51,202
115583,17755,-1799,1782,46,209
117381,17795,-1798,1781,40,216
119180,17831,-1799,1779,36,223
120979,17861,-1799,1778,30,231
122778,17887,-1799,1776,26,238
124577,17907,-1799,1776,20,245
126376,17923,-1799,1773,16,253
128176,17934,-1800,1772,11,260
129975,17940,-1799,1771,6,267
131774,17941,-1799,1768,1,275
133574,17936,-1800,1768,-5,282
135373,17926,-1799,1765,-10,290
137172,17912,-1799,1764,-14,297
138972,17893,-1800,1762,-19,304
140771,17869,-1799,1760,-24,311
142570,17840,-1799,1758,-29,319
144368,17806,-1798,1756,-34,326
146167,17767,-1799,1755,-39,333
147966,17722,-1799,1752,-45,342
149764,17673,-1798,1745,-49,363
151562,17620,-1798,1733,-53,403
153360,17561,-1798,1725,-59,428
155158,17497,-1798,1714,-64,455
156955,17428,-1797,1705,-69,479
158753,17354,-1798,1695,-74,504
160549,17275,-1796,1683,-79,530
162346,17191,-1797,1672,-84,554
164142,17103,-1796,1660,-88,579
165938,17008,-1796,1647,-95,602
167733,16910,-1795,1634,-98,628
169528,16806,-1795,1621,-104,651
171323,16697,-1795,1606,-109,677
173117,16584,-1794,1574,-113,726
174911,16465,-1794,1514,-119,810
176704,16342,-1793,1447,-123,891
