deltaB,,,deltaB
-123,,-1,123
-119,,-1,119
-113,,-1,113
-109,,-1,109
-104,,-1,104
-98,,-1,98
-95,,-1,95
-88,,-1,88
-84,,-1,84
-79,,-1,79
-74,,-1,74
-69,,-1,69
-64,,-1,64
-59,,-1,59
-53,,-1,53
-49,,-1,49
-45,,-1,45
-39,,-1,39
-34,,-1,34
-29,,-1,29
-24,,-1,24
-19,,-1,19
-14,,-1,14
-10,,-1,10
-5,,-1,5
1,,-1,-1
6,,-1,-6
11,,-1,-11
16,,-1,-16
20,,-1,-20
26,,-1,-26
30,,-1,-30
36,,-1,-36
40,,-1,-40
46,,-1,-46
51,,-1,-51
55,,-1,-55
61,,-1,-61
65,,-1,-65
70,,-1,-70
73,,-1,-73
65,,-1,-65
50,,-1,-50
47,,-1,-47
53,,-1,-53
61,,-1,-61
68,,-1,-68
75,,-1,-75
82,,-1,-82
90,,-1,-90
98,,-1,-98
105,,-1,-105
112,,-1,-112
120,,-1,-120
127,,-1,-127
135,,-1,-135
142,,-1,-142
149,,-1,-149
157,,-1,-157
165,,-1,-165
172,,-1,-172
179,,-1,-179
186,,-1,-186
193,,-1,-193
202,,-1,-202
209,,-1,-209
216,,-1,-216
223,,-1,-223
231,,-1,-231
238,,-1,-238
245,,-1,-245
253,,-1,-253
260,,-1,-260
267,,-1,-267
275,,-1,-275
282,,-1,-282
290,,-1,-290
297,,-1,-297
304,,-1,-304
311,,-1,-311
319,,-1,-319
326,,-1,-326
333,,-1,-333
342,,-1,-342
363,,-1,-363
403,,-1,-403
428,,-1,-428
455,,-1,-455
479,,-1,-479
504,,-1,-504
530,,-1,-530
554,,-1,-554
579,,-1,-579
602,,-1,-602
628,,-1,-628
651,,-1,-651
677,,-1,-677
726,,-1,-726
810,,-1,-810
891,,-1,-891
